dep;dc_evol
01;  0
01;  0
01;  0
01;  0
01;  0
01;  0
01;  0
01;  0
01;  2
01;  0
01;  1
01;  3
01;  4
01;  0
01;  2
01;  2
01;  3
01;  5
01;  2
01;  1
01;  2
01;  4
01;  4
01;  5
01;  2
01;  0
01;  2
01;  2
01;  6
01;  0
01;  3
01;  5
01;  0
01;  2
01;  2
01;  4
01;  4
01;  1
01;  2
02;  0
02;  8
02;  5
02;  1
02;  3
02;  2
02;  3
02;  1
02;  2
02;  1
02;  4
02;  1
02;  2
02;  7
02;  8
02;  8
02; 18
02;  9
02;  6
02;  6
02;  9
02;  4
02;  9
02;  8
02;  4
02;  2
02;  5
02;  5
02;  3
02;  4
02;  6
02;  3
02;  1
02;  6
02;  8
02;  5
02;  1
02;  3
02;  4
03;  0
03;  0
03;  0
03;  0
03;  0
03;  1
03;  0
03;  0
03;  1
03;  2
03;  0
03;  0
03;  0
03;  1
03;  0
03;  1
03;  1
03;  0
03;  1
03;  0
03;  0
03;  2
03;  0
03;  0
03;  2
03;  1
03;  0
03;  3
03;  1
03;  2
03;  0
03;  3
03;  0
03;  0
03;  0
03;  1
03;  0
03;  1
03;  0
04;  0
04;  0
04;  0
04;  0
04;  0
04;  0
04;  0
04;  0
04;  0
04;  0
04;  0
04;  0
04;  1
04;  1
04;  0
04;  1
04;  0
04;  0
04;  0
04;  1
04;  0
04;  0
04;  0
04;  0
04;  0
04;  1
04;  0
04;  0
04;  0
04;  1
04;  0
04;  0
04;  0
04;  0
04;  1
04;  0
04;  0
04;  0
04;  0
05;  0
05;  0
05;  0
05;  0
05;  0
05;  0
05;  1
05;  0
05;  0
05;  0
05;  0
05;  0
05;  0
05;  0
05;  0
05;  0
05;  0
05;  0
05;  0
05;  1
05;  0
05;  0
05;  0
05;  0
05;  0
05;  1
05;  0
05;  0
05;  1
05;  0
05;  1
05;  1
05;  0
05;  0
05;  0
05;  0
05;  0
05;  0
05;  0
06;  0
06;  0
06;  2
06;  2
06;  1
06;  1
06;  0
06;  1
06;  3
06;  0
06;  3
06;  2
06;  3
06;  3
06;  6
06;  3
06;  3
06;  3
06;  5
06;  4
06;  1
06;  8
06;  5
06;  2
06;  4
06;  1
06;  7
06;  6
06;  4
06;  3
06;  7
06;  2
06;  1
06;  9
06;  1
06;  2
06;  1
06;  7
06;  4
07;  0
07;  0
07;  1
07;  0
07;  0
07;  1
07;  1
07;  1
07;  1
07;  4
07;  1
07;  1
07;  1
07;  1
07;  4
07;  6
07;  1
07;  2
07;  0
07;  4
07;  2
07;  3
07;  3
07;  2
07;  0
07;  0
07;  3
07;  2
07;  0
07;  0
07;  3
07;  1
07;  0
07;  2
07;  1
07;  1
07;  2
07;  0
07;  2
08;  0
08;  0
08;  0
08;  0
08;  0
08;  0
08;  0
08;  0
08;  0
08;  0
08;  0
08;  0
08;  0
08;  0
08;  1
08;  0
08;  1
08;  1
08;  1
08;  2
08;  0
08;  1
08;  2
08;  2
08;  2
08;  4
08;  0
08;  4
