dep;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;moyenne_periode
01;  0;  0;  2; 4;  9;  5;  7;  4; 16;  4;  2; 12;  5; 20; 13; -5;  9;  3;  3;  4;  5;  1;  3;-10;  0;  2; 14;  5;  14; -1; 21; -1; -2; -1;  -2; -3;  2; -4; 4,9
02;  2;  9;  9; 8; 22; 16;  8;  9;  8;  2;  2; -1;  9; 20; 22; 24; 13; -2;  2; 32;  5; 10; 10; -1;  4;  3; -7;  1;  -3;  0; -6;  4; 29; -9; -16;  2; 11; -5; 7,5
03; -4;  1;  4; 0;  4;  0;  3;  3;  3;  4;  1;  7;  6;  2; -2;  4;  4;  1;  5;  2;  1;  4; -1;  4; -2;  0;  4; -3;   1;  1; -4;  0;  5; -6;  -1; -1; -2;  1; 1,5
04;  0;  0;  1; 0;  0;  0;  4;  1;  2;  1;  0;  7;  1;  2;  3;  4;  0;  2;  4; -6;  1;  1;  4;  0; -1; -1;  1;  3;  -3;  0;  0;  4;  7; -4; -10; -2;  1; -1; 1,1
05;  2;  3;  0; 1;  5;  0;  4;  6;  3;  0;  7; -1;  4; 10;  7;  5; -4; -1;  4;  1; -3; -7; -2; -2; -1;  0; -3; -2;  -2;  0; -4;  0;  0;  3;   0;  0; -3;  3; 1,0
06;  8; 10;  3;-1; 21;-11; 20; 10; 14;  6;  7;  7; 13; 17; 33; 21; 14;  2; 14; 19;  6;  6; 14;-11;  3;  8;  4; -4;   0;-15; 13;  3; -3; -7;   7; -6; -1;-10; 7,2
07; -1;  4;  0; 7;  7;  8; 11;  4;  2;  8;  4;  6; 15; -2; -2; 12; -8;  6;  9;  4;  1;  0; -2; -3;  0;  4;  0; -5;   1;  2;  6;  1; -8;  1;  -2; -5;  2; -4; 2,7
08;  0;  1;  2; 1;  2; -1;  0;  8;  1; 11;  5;  0; 18;  6; 12;  1;  1;  5;  0;  7; -5;  3; -4; -5; 10;  0; -1; -8;  -3;  1;  0; -1; -1; -1;  -6;  1; -6;  0; 1,9
09;  0;  1;  0; 0;  1;  0;  4;  0;  1;  0;  1;  2;  1;  4;  1; -1; -1;  3;  0;  1;  1; -2; -3;  0;  1;  0;  0;  2;   0; -4;  0; -1;  0; -1;   0;  1; -2;  0; 0,3
10;  1;  6;  0; 9; 12;  3;  8; 14;  3;  3;  1;  5;  9;  7; 18;  6; 31;  7;  3;  6; -4; 49; 11;  6; 20; 21; 14; -8;  -3; -2;  5;  2;-12; -8;   5;  9;-30; -2; 7,1
11; 10;  8;  0; 1;  9; -3;  4;  1;  7; 14;  9;  5;  2;  5; 21; -2;  3; -7;-19;  5; -8; -4; -6;  3; 15; 10; -5; -9;  -4; -2; -3;  2; -5;  4;  -2; -6;  0; -4; 1,8
12;  2;  3; -1; 2;  1;  5; -2;  5;  2;  9;  1;  6;  3;  3;  6;  8; -2; -2;  3; -4; -3;  0; -2;  5;  1;  1; -1; -1;   0;  3;  7; -1;  3; -2;  -3; -3;-13; -1; 1,7
13; 30; 46; 29;44; 64; 58;  7; 58; 91; 76;104;106; 51; 25; 59; 76; 18; 55; 74;-95; 33;-62; 44;-25; 69; 14; -5; 19; -14; 34;-50;-83;  3;  5;   3; -9;-40;-36;28,2
14;  0;  0;  2; 5; 15;  3; 17;  5; 12; 18; 12;  2;  1; 15; 15;  5; -1; 12;  4;  5;  5;  1;  8;  1; -4; -6; -4;  0;  -5; -7; -1;  6; -1;  1;  -3; -4; 10;  0; 4,1
15;  1;  1;  1; 0;  0;  2;  0; -1;  1;  1;  0;  2;  2;  0;  9;  3;  1;  1;  2; -2;  0;  1;  0;  0;  1;  1;  0; -1;   0; -5; -1;  5;  1;  2;  -2; -3; -4;  0; 0,8
16; -1;  1;  2; 2;  1;  7;  5;  1;  8; -4;  7;  5;-21;  3;  2; -1; -1;  0; -2; -3; -1;  0; -1;  3;  1;  0;  0; -1;  -2;  1; -1;  2; -1;  0;  -2;  0; -1;  0; 0,3
17;  2;  2;  2; 1;  1; 13;  0; 10;  0;  5;  5; 15; -5;  9;  1;  8;  5;  0;  2;  8;  2;-11; -2;  1;  7; -1;  9;-12;  -1;  1;  3; -1; -1;  0;  -3;  0; -6; -1; 2,3
18;  0;  0;  0; 0;  0;  2;  5;  2;  3;  4;  2; 14;  6;  2; -2;  5;  4;  2;  6; -1; -3;  9;  6;  0;  2;  4;  0;  2;  -7; 11;  0;  5;  0;  8;  -7; -1;  0;  4; 2,7
19;  1;  0;  0; 3;  2;  6;  3;  1;  0; 13;  3;  5;  1;  1; -1;  4;  1; -1;  2; -3;  2;  1; -5;  7;  2;  3;  2;  1;   2;  1;  4;  5;  4;  2;   0;  1;  4; -3; 2,1
21; -7; 29; -3;22; 12;  1; 39; 10;  7; 32; 16; -7;-45; 24; 12; 10; 43;  4; 25; 23;  3;-20; 60;-25; 19; -4;  6; 15;  23; -4; 11;-24;  0; -1;  -5;-21;-37;-11; 9,0
22;  1;  3;  2; 0;  2;  2;  4;  7; 10;  2;  2;  3;  0;  8; 12;  6; -3;  8;  5; -6; -3; -2;  6; -1;  4;  1;  3; -2;  -6;  3; -2; -5; -2; -5;   0; -4; -1; -1; 1,7
23;  0;  0;  1; 0;  1;  0;  2;  0;  2;  0;  0;  2;  1;  2;  0;  0;  1;  0; -1;  2; 15;  1;  0;  2;  2;  1; -2; -2;   0;  1;  1;  0; -1; -2;  -2;  2; -3;  0; 0,9
24;  0;  1;  1; 2; 14;  4;  5;  4;  8;-30;  0;  0; -1;  3;  2;  5;  5;  1;  2; -2; -3; -1;  4; -2;  2;  5; -2;  4;   3; 19;  0; -1;  7; -5;  -2; -9;-10; -4; 1,6
25;  7; 10;  5;15;  2; 15;  4;  0; 16; -9; 57;  4; -4; 13; 25;-13;  2;  8;  0; 13;  3;  0; -9; -4; 27; -1; 22; -4;  -9; -8;-21; -2;  3;  3;   2;-21;  0; -6; 5,0
26; 15;  6;  5; 3; 12;  9; 23; 26; 13; 36; 18; 26;  5; 26;-11; 21;  4; -3;  9;-16;  3; -6;-11; -3;  9; -2; -8;-19;  -5;-13;-16;  1;  0;-11; -12; -7; -5;  1; 4,3
27;  1;  3;  3; 5;  3;  0;  7; 13;  2;  0;  0;  2;  4;  0; 11;  9;  6; -1; -1; -1;-16; 17; 20;  7;  0; -2; -7; -6;   4; 11;  2;  0; -5; 11;  -1;  9;  3;  1; 3,0
28;  6;  1;  1; 2; 19;  7;  9;  8; 10;  5; 25; 16;  7;  0; 25;  5; 11; 12; -8;  5;  6;  9; 12;  4; 17; 13;  4;  6;  -3; 14;  1;  3;-12; -5;   2; -2; -1; -5; 6,9
29;  4;  3;  0;-1;  3;  0; 11;  8;  0;  7;  2;  4; -5;  7; 10;  8;  5;  3; 11;  1;  8;  7;  1;  6;  7; -2; -1; -5;  -8; -6;  0;  0; -4;-11;  -4; -3;  1; -4; 2,1
2A;  1; 59;  2;-4;  1;  4; 11; 14;  7;  6;-10;  1; -3; -1;-14; -2;  8; -2; -2;  3;  2; -3; -6; -2;  0;  1;  0; -2;   0;  1; -7;  1; -2; -2;  -2; -3;  2; -3; 1,8
2B;  0;  6;  0; 0;  0;  1;  0;  0;  0;  0;  0;  0;  3; -2;  4;  4;  1;  0; -1; -1; -6;  1; -4;  0; -2;  0; -1; 11;   1; -1; -1; -2; -3; -1;   4;  0;  2; -3; 0,2
