dep;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;moyenne_periode
01;  0;  0;  0; 1; 5; 4; 4; 2;  0;  3; 3;  1;  9; 10;19; 12;  9; 3; 6;  5;  8;  7;  7; 13; 4; 3; 5; 26; -1;  8;  4; 2;  3; 10; 15;  9;  4; 5; 5,7
02; 15;  7;  9; 6; 7;23; 7;10;-12;  5; 1;-29; 41; 13;27; 14; 18; 2; 5; 31; 12; 19; 14; 22; 2; 1; 8; 24; 13; 12; 10; 1; 69; 90; 39; 20; 12;12;14,6
03;  6;  3;  0; 0; 6; 0; 4; 6;  1;  4; 1;  7;  2;  7; 6;  0;  2; 3; 2;  4;  2; -1;  6;  2; 5; 3;-1;  4;  1;  1;  3; 0;  0;  9;  4;  4;  3; 3; 2,9
04;  1;  0;  0; 0; 0; 0;13; 0;  2;  3; 0;  7;  3;  2;12;  0; -1; 0; 5;  7;  2;  0;  2;  3; 0; 0; 8;  1;  2;  1;  1; 2;  2;  4;  7;  4;  2; 2; 2,4
05;  1;  0;  0; 1; 2; 3; 3; 1;  2;  4; 1;  6;  3;  0; 1;  0;  5; 3; 1;  2;  5;  8;  4;  3; 0; 2; 3;  5;  3;  0;  4; 0;  0;  2;  1;  1;  3; 1; 2,3
06;  1; 13;  0; 2; 0;23; 7; 2;  4;  8; 9;  1;  7;  8; 9;  8; 18; 4; 9; 12; 16; 11; 12; 18; 0; 8;13; 14; 13; 29;  2; 0; 14; 14; 13; 13;  5;14; 9,1
07;  0;  3;  0; 0; 0;-2;33; 5;  6; 21; 1; 12; 20; 11;10;  5;  7;-1; 9; 10;  6; 10; 10;  6; 2; 1; 8; 12;  3;  9;  6; 0;  9;  5;  5;  9;  1; 7; 7,0
08;  0;  0;  0; 0; 0; 1; 0; 0;  0;  0; 2;  0;  4;  0; 2;  3;  7; 3; 7;  7;  2;  5;  8;  5; 9; 0; 5;  5;  5;  6;  6; 2;  0;  2;  7;  0;  1; 1; 2,8
09;  0;  0;  1; 0; 0; 0; 1; 0;  0;  0; 0;  0;  2;  1; 1;  0;  2; 0; 1;  1; -2;  1;  4;  0; 0; 0; 0;  0;  0;  4;  0; 1;  1;  1;  0;  0;  3; 0; 0,6
10;  0;  0;  0; 0; 0; 0; 3; 0;  0;  0; 0;  1;  0; 17; 3;  1;  2; 0; 0;  3; 24; 93; 49;  0; 1; 1; 0; 14; 18; 13;  1; 0; 19; 10; 27; 14; 24; 2; 8,0
11; -1;  5;  0; 0; 0; 0; 4; 6;  3;  8; 1;  1;  3;  7; 6;  3;  2; 6; 4;  9;  3;  5;  7;  5; 0; 0; 2;  9;  4;  6;  9; 0;  1;  6;  2;  5;  3; 5; 3,6
12;  1;  1;  1; 0; 0; 1; 5; 0;  3;  3; 0;  3;  2;  0; 3;  2;  5; 3; 1;  7;  5;  3;  6;  2; 0; 1; 2;  4;  1;  2;  1; 2;  1;  1;  6;  6; 13; 1; 2,1
13; 38; 11; 20; 5;35;29;64;48; 25; 26; 4; 21;100; 90;31; 65; 59;18;45;136; 62;117; 59; 56;11;16;74; 54; 72; 65; 85;79; 47; 78; 77; 54; 81;67;51,3
14;  1;  2;  0; 0; 2; 2; 0; 4;  1;  4; 1;  1;  4;  7; 0;  8; 13; 1; 7;  6;  4;  3;  1; 10; 8; 4; 6;  5;  8; 10;  9; 1;  1;  8;  4;  4;  3; 0; 4,2
15;  0;  0;  0; 0; 0; 0; 1; 1;  0;  0; 0;  0;  0;  1; 0;  0;  0; 0; 0;  3;  2;  1;  0;  0; 0; 0; 1;  2;  1;  6;  1; 0;  0;  0;  2;  1;  3; 0; 0,6
16;  2;  0;  0; 0; 0; 0; 0; 4;  2;  4; 1;  0;  1;  2; 1;  4;  1; 1; 1;  2;  2;  0;  2;  0; 1; 0; 0;  0;  2;  0;  1; 0;  0;  0;  2;  0;  1; 0; 1,0
17;  0;  0;  0; 3; 1; 0; 1; 8;  1;  3; 1;  1;  6;  4; 2; -1;  4; 3; 2;  5;  4;  4;  2;  1; 0; 1; 2;  4;  3;  1;  3; 0;  1;  3;  0;  4;  2; 1; 2,1
18;  0;  0;  0; 0; 0; 1; 0; 0;  2;  0; 0;  0;  1;  0; 3;  3;  1; 1; 2;  7;  4;  1;  4;  5; 0;-1; 1;  2;  5;  6;  0; 1;  0;  4;  8;  3;  1;-1; 1,6
19;  0;  0;  0; 0; 0; 0; 0; 1;  0;  0; 1;  2;  1;  3; 3;  3;  1; 1; 1;  6;  3;  3;  5;  3; 1; 0; 1;  2;  3;  1;  2; 0;  3;  2;  1;  1;  1; 4; 1,5
21; 24;  9;  8;28;11;22;21;12; -1; 17;26; 32;  7; 24;29; 17;  7;10; 4; 13; 12; 28;  6; 32; 4;12; 1; 18;  5; 23;  3;31;  6; 12; 12; 20; 33;24;15,1
22;  0;  0;  0; 0; 0; 0; 0; 0;  0;  3; 2;  1;  1;  3; 3;  4;  5; 0; 4; 13;  3;  4;  5;  5; 2; 1; 4;  6;  8;  2;  3; 5;  4;  7;  3; 10;  2; 5; 2,9
23;  0;  0;  0; 0; 0; 0; 0; 0;  0;  0; 0;  0;  1;  0; 1;  0;  1; 0; 1;  1;  0;  1;  3;  0; 0; 0; 2;  3;  0;  0; -2; 0;  0;  2;  2;  0;  4; 0; 0,4
24;  0;  1;  0; 0; 9; 4; 0; 1;  0;-11; 0;  0;  1;  2; 3;  0;  2; 1; 1;  5;  3;  2;  2;  5; 0; 0; 2;  1;  1;  3;  0; 1;  0; -9;  2;  6;  9; 3; 0,9
25;  2;  3;  6; 1; 5; 5;14; 8;  8; 12;12;  5; 18; 10;13; 21; 17;10; 6;  4; 17; 14; 15; 14;15; 5; 9; 10; 12; 13; 21; 6;  1;  8; 10; 19; 11; 5;10,0
26;  2;  0;  0; 1; 2; 5; 3;13; 13;  2; 0; 12; 11; 12;16; 13; 14; 6; 8; 26;  9; 14; 11; 12; 2; 6;10; 21; 14; 14; 14; 3;  0; 18; 33;  7; 10; 6; 9,0
27;  0;  0;  0; 0; 0; 0; 0; 0;  0;  1; 0;  2; 11;  7;-2;  3;  0; 0; 1;  3; 14;  4;  3;  0; 2; 0; 2;  4;  8;  5;  1; 0;  6;  1;  1;  4;  1; 1; 2,2
28;  0;  0;  1; 1; 0; 1; 3; 4;  3;  2; 2;  6;  4;  7;19; 11; 12; 3;17;  8; 20;  8; 12;  4; 1; 0;14; 10; 36; 13;  9; 3; 11; 11;  7; 16;  1; 5; 7,5
29;  3;  0;  0; 3; 0; 5; 3; 3;  3;  2; 3;  1;  8;  4; 7;  7;  1; 3; 1;  2;  4;  3;  9;  4; 0; 2; 2;  3;  8;  5;  1; 2;  3;  5;  6;  2;  0; 1; 3,2
2A;  1;  9;  2; 1; 1; 4; 3; 1;  2;  1; 6; 12;  2;  0; 2;  1; -2; 2; 0; -3;  0;  2;  4;  2; 2; 0; 2;  2;  1;  0;  8; 2;  0;  4;  5;  4;  2; 2; 2,2
2B;  0; 23;  0; 0; 8; 2; 0; 8;  5;  0; 2;  0;  7;  2; 6;  5;  2;-1;-2;  1; -3;  0;  4;  0; 2; 0; 1;  0;  2;  1;  3; 2;  2;  1;  0;  0;  0; 2; 2,4
30;  1;  0;  4;-1; 1; 3; 1; 2;  2;  0; 0;  0;  5;  1; 9;  4;  3; 1; 3; 11; 10;  6; 11; 13; 1; 2; 6;  5; 15;  2;  9; 0;  6;  1;  0; 19; 10;-2; 4,0
31;  2;  3;  1; 6; 3;12; 6; 5;  3; 10; 3;  5; 20; 18;17; 11; 14; 6; 5; 17; 13; 22; 15; 21; 9; 5;15; 28; 15; 13; 15; 6;  2; 18; 17; 11; 17;13;10,7
32;  0;  0;  0; 0; 0; 0; 0; 1;  0;  0; 0;  0;  2;  1; 2;  0;  1; 0; 1;  5;  1;  2;  4;  1; 0; 0; 1;  5;  2; -6;  0; 0;  1;  3;  0;  3; 13; 3; 0,8
33;  4;  5;  0; 1; 6; 8;28;17; 19;  7; 9; 37; 45; 36;39; 17; 23;13;14; 19; 42; 31;-85; 24;16; 8;15; 26; 19; 15; 23; 9;  9; 20; 18; 31; 13;14;15,3
34;  3;  3;  9; 5; 4; 7; 5;16; 11; 12; 2; 14; 36; 24;17; 15; 15;13;12; 31; 27; 25; 25; 26; 7; 4; 7; 17; 19; 14; 21;-1; 11; 10;  8;  9; 12; 8;13,7
35; 15;  2;  1; 0; 2; 6; 4; 4;  4;  2;11;  2;  6;  3; 6;  4; 10; 1; 5; 16;  9;  4;  7; 11; 6; 3; 8; 12; 14;  9; 17; 6;  2;  9;  9;  5; 11;12; 6,5
36;  0;  0;  0; 0; 0; 0; 0; 1;  1;  0; 0;  1;  0;  1; 3;  0;  2; 0; 0;  5;  2;  3;  1;  3; 1; 0; 2;  1;  3;  8;  0; 0;  1;  6;  5;  5;  0; 1; 1,3
37;  0;  0;  1; 0; 0; 3; 5; 3;  6;  4; 1;  2;  2; 10; 3;  7;  8; 9; 2;  7;  9;  7;  6;  8; 3; 2; 7; 15;  9;  6;  6; 5;  6;  6;  0;  7;  7; 3; 4,9
38;  3;  7;  3; 1; 5;12; 7; 8;  6;  5; 4;  3; 10; 17; 5; 12; 16; 4; 9;  9; 26; 18; 11;  7; 9; 3; 7; 17; 18;  8; 21; 5; 12; 31; 11; 15; 15; 5;10,0
39;  0;  1;  0; 0; 0; 2; 0; 0;  1; 10; 0;  0;  6;  4; 4;  7;  3; 3; 0;  5;  3;  8;  2;  5; 0; 0; 0;  9;  8;  1; 11; 3;  1; 14; 12; 11;  2; 8; 3,3
40;  0;  0;  0; 0; 0; 0; 1; 1;  0;  3; 0;  1;  1;  0; 3;  2;  0; 1; 7;  4;  1;  4;  2;  0; 0; 0; 1;  0;  1;  0;  2; 0;  3; -1;  1;  2;  2; 1; 1,1
41;  1; -1;  0; 0; 1; 5; 1; 1;  0;  4; 0;  2;  2;  1; 1; 14;  2; 2; 1;  6;  4;  1; 10;  3; 0; 1; 2;  6;  3;  4;  1; 0;  7;  5;  7;  3;  2; 3; 2,6
42;  5;  1;  3; 4; 4; 6; 3; 3; 12;  3;13; 10;  7; 29;14; 33; 11;12;11; 30; 26; 23; 33; 17;15; 4;17; 28; 17; 24; 24; 7;  5; 26; 18; 15; 11;33;14,1
43;  0;  1;  0; 1; 0; 1; 3; 0;  1;  1; 0;  1;  2;  2; 2;  3;  2; 2; 2;  4;  6;  3;  3;  0; 0; 1; 4;  2;  4;  2;  4; 0;  0;  0;  0;  3;  0; 0; 1,7
44;  2;  2;  1; 2; 0; 9; 4; 2;  4;  8; 0; 12; 18; 10;10; 18; 12;12; 5; 22; 19; 18; 13; 17; 6; 3; 8; 15; 14;  7; 13; 1;  5; 11; 18;  7; 14; 8; 8,9
45;  0;  2;  1; 4; 4;-1; 3; 5;  2;  3; 3;  6;  4;  6;12; 11; 21;12; 9; 18; 16; 19; 21; 17; 8;12; 8; 24; 27; 14; 16; 5;  4; 15;  7; 12;  4; 7; 9,7
46;  0;  1;  3; 0;-1; 0; 0; 1;  0;  0; 2;  0;  0;  6; 1;  3;  2; 3; 6;  5;  6;  4;  6;  4; 0; 0;-1;  3;  1;  8; 26; 2; 13;  3;  2;  3; 10; 0; 3,1
47;  0;  0;  0; 0; 0; 1; 1; 1;  1; -1; 0;  2;  2;  0; 0;  3;  1; 0; 0;  3;  1;  0;  1;  0; 1; 0; 1;  6;  3;  3;  1; 1;  0;  0;  0;  0;  3; 2; 0,9
48;  0;  0;  0; 1; 0; 1; 0; 1;  0;  1; 0;  2;  1;  0; 1;  0;  1; 0; 0;  2;  0;  0;  0;  0; 0; 0; 0;  0;  1;  0;  0; 0;  0;  0;  1;  0;  2; 0; 0,4
49;  2; 10; -3; 5; 3; 5; 7;10;  8;  8;11;  2; 18; 15;19; 17;  3; 5; 5; 20; 10; 12; 15;  9; 3; 8; 4; 22; 13; 10;  4; 4;  3; 11; 10; 11;  2; 7; 8,8
50;  1;  0;  0; 1; 1; 0; 4; 1;  2;  0; 2;  1;  2;  2; 5;  4;  2; 0; 3;  8;  3;  1;  2;  7; 2; 0; 1;  5;  4;  2;  2; 0;  1;  8;  7;  9; -2; 0; 2,3
51;  8; 12;  1; 0;12;13;13; 6;  9; 33;14; 10; 33; 26;19; 22; 16; 0;18; 42; 34; 18; 24; 30; 9; 4;19; 34; 10; 23; 30; 2; 15; 28; 19; 13; 13;15;17,3
52;  0;  5;  0; 0; 1; 5; 1; 1;  4;  0; 0;  0;  2;  1; 3; 11; 10; 2; 4;  5;  3;  3; 11;  6; 4; 1; 0; 12;  5;  3;  6; 1;  0; 37;-25;  2;  1; 0; 4,3
53;  1;  0;  0; 0; 0; 0; 0; 0;  0;  0; 0;  1;  4;  3; 3;  0;  0; 3; 0;  5;  3;  3;  2;  9; 0; 2; 1;  4;  3;  4;  3; 1;  1;  3;  4;  2;  5; 1; 1,7
54;  0;  1;  0;10; 4; 9; 6;10; 13; 10; 8; 17;  6; 37;22; 35; 21;15;17; 45; 47; 28; 16; 12;29; 7;23; 41; 30; 15; 19; 7; 11;  8;  8; 13;  7;29;17,0
55;  4;  2;  1; 0; 9; 4; 4; 8;  5;  0; 1; 17; 14;  9;15; 12; 10; 3; 6; 17;  6; 14; 13;  9; 7; 1; 8; 13;  7;  3;  7; 2;  5; 10;  8; -4;  4; 3; 7,2
