dep;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;moyenne_periode
01; 0; 0; 0; 1; 2; 0; 3; 0; 3; 3; 1; 6;-3;12; 5;-2;  1;-2; 0;  2;  2; -1; -5;  2;  0;  0; -1; -6;  1;  0;  1; -1; -2;  1; -4;  1;  0; -1; 0,7
02; 5; 4; 1; 1; 2; 4; 5; 3; 0;-1; 0; 0; 3; 3;-2; 1;  1;-1;-3; -1;  4;  0;  5; -1;  1;  0;  1;  2;  0; -3; -3;  0;  6; -7;  0;  0; -2;  0; 0,9
03; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 3; 3; 5; 0; 1;-1; -1; 4; 2;  1;  2;  1;  0;  0; -2;  0;  1; -1;  0; -1; -2;  1;  0;  0;  0; -2; -2;  0; 0,5
04; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 3; 0; 1; 0; 1; -1; 2;-2; -2;  0;  0;  1;  1;  0; -1;  0;  0; -1;  0;  0;  0; -1;  0;  0;  0;  0; -1; 0,0
05; 0; 0; 0; 0; 2; 1; 0; 2; 1; 0; 1;-2; 1; 4; 5; 0;  1; 0; 0;  0; -1; -1;  0;  0; -2;  0;  0; -1;  0; -1; -2;  0;  1; -1;  0; -1; -1;  1; 0,2
06; 4; 2; 0; 1; 5;-1; 5; 1; 4;-1; 5; 4; 4; 7;20; 4; 12; 1; 2;  1;  6; -3; -1; -4;  1; -1;  0;-10; -5; -6; -2; -1; -5; -2;  0;  0;  3; -4; 1,4
07; 1; 1; 0; 0; 0; 1; 1; 2; 2; 0;-1; 0; 3; 0; 2; 3; -1; 0; 1;  3;  1;  3;  1;  2; -1; -1;  0;  0; -1;  0;  0;  0;  0;  3; -1; -1;  1;  0; 0,7
08; 0; 1; 0; 0; 2; 0; 0; 4; 1; 0; 3; 0; 6;-1; 1; 0;  1; 0; 0;  0; -1;  1; -2;  1; -2;  0;  2;  1; -1; -1;  0;  0;  0;  0; -3;  0; -1;  0; 0,5
09; 0; 0; 0; 0; 2; 0; 0; 0;-2; 0; 1; 1; 0; 3; 0; 0; -1; 0;-1;  0;  0;  0;  0;  0;  0;  0;  0; -1; -1;  0;  0;  0; -1;  0;  0;  0;  0;  0; 0,0
10; 1; 1; 0; 2; 0; 0; 5; 4; 0; 0; 0; 0; 0; 2; 2; 0;  5; 1; 0;  2; -1;  3;  0;  0;  0;  0; -1;  0;  0;  0;  0;  1;  0; -9;  0; -1; -1; -5; 0,5
11; 4; 0;-2; 0; 4;-2; 1;-1; 3; 5;-1; 2;-2; 2;-1; 0;  1;-2;-3;  2; -3;  1;  0; -1;  0;  0; -2; -2;  0; -2;  0;  1; -1;  1;  0;  0; -1; -1; 0,1
